candidate_filer_id,committee_filer_id,link_type,session,active,effective_date,termination_date
1000431,1062803,12011,1996,I,2/22/96,
1000432,1025746,12014,,I,12/24/77,
1000432,1021071,12011,,I,12/24/77,
1000433,1024762,-12011,,I,12/24/77,
1000436,1024682,-12011,,I,12/24/77,
1000437,1023167,12015,,I,12/24/77,
1000438,1024689,-12011,,I,12/24/77,
1000439,1053659,-12011,1995,I,11/27/95,
1000439,1022278,-12011,,I,12/24/77,
1000439,1022688,-12011,,I,12/24/77,
1000439,1026328,-12011,,I,12/24/77,
1000439,1029361,12015,,I,12/24/77,
1000439,1043765,12015,,I,12/24/77,
1000439,1047742,12015,,Y,12/24/77,
1000439,1050758,12015,,I,12/24/77,
1000439,1055017,-12011,1992,I,2/10/92,
1000439,1018353,-12011,,I,12/24/77,
1000439,1020076,-12011,,I,12/24/77,
1000439,1024308,12015,,I,12/24/77,
1000439,1047742,12011,1999,Y,1/5/00,
1000439,1053659,12011,1995,Y,11/27/95,
1000442,1024678,-12011,,I,12/24/77,
1000442,1025358,12015,,I,12/24/77,
1000442,1025260,12015,,I,12/24/77,
1000452,1032756,12015,,I,12/24/77,
1000452,1029024,12015,,I,12/24/77,
1000453,1025219,12015,,I,12/24/77,
1000453,1025585,12014,,I,12/24/77,
1000453,1022974,-12011,,I,12/24/77,
1000453,1022437,12015,,I,12/24/77,
1000453,1025743,12014,,I,12/24/77,
1000453,1025613,12014,,I,12/24/77,
1000453,1025676,12014,,I,12/24/77,
1000460,1019035,-12011,,I,12/24/77,
1000460,1018683,12015,,I,12/24/77,
1000460,1018702,-12011,,I,12/24/77,
1000462,1018479,-12011,,I,12/24/77,
1000463,1023974,-12011,,I,12/24/77,
1000464,1025370,12015,,I,12/24/77,
1000464,1023729,-12011,,I,12/24/77,
1000466,1024530,-12011,,I,12/24/77,
1000467,1024324,-12011,,I,12/24/77,
1000470,1040740,12015,,I,12/24/77,
